time,speed,rpm,
37.8,240,7272,37.8
38,241,7619,38
38.2,242,7619,38.2
38.4,243,7272,38.4
38.6,244,7619,38.6
38.8,245,7619,38.8
39,246,7619,39
39.2,247,7272,39.2
39.4,248,7619,39.4
39.6,249,7272,39.6
39.8,250,7619,39.8
40,251,7272,40
40.2,252,7619,40.2
40.4,253,7619,40.4
40.6,254,7272,40.6
40.8,255,7272,40.8
41,254,7619,41
41.2,253,7619,41.2
41.4,252,7619,41.4
41.6,251,7619,41.6
41.8,250,7272,41.8
42,249,7619,42
42.2,248,7619,42.2
42.4,247,7272,42.4
42.6,246,7619,42.6
42.8,245,7619,42.8
43,244,7272,43
43.2,243,7272,43.2
43.4,242,7272,43.4
43.6,241,7272,43.6
43.8,240,7272,43.8
44,239,7272,44
44.2,238,7619,44.2
44.4,237,7272,44.4
44.6,236,7272,44.6
44.8,235,7272,44.8
45,234,7272,45
45.2,233,7272,45.2
45.4,232,6956,45.4
45.6,231,7272,45.6
45.8,230,6956,45.8
46,229,7272,46
46.2,228,7272,46.2
46.4,227,6956,46.4
46.6,226,6956,46.6
46.8,225,6956,46.8
47,224,6956,47
